id,timestamp,faixa_etaria,bairro,frequencia_eventos,tipos_eventos,canais_descoberta,num_plataformas,facilidade_descoberta,perdeu_evento_tarde,pouca_divulgacao_gratuitos,poucos_eventos_bairro,foi_evento_acaso,utilidade_recomendacao_app,usaria_app_localizacao,funcionalidades_uteis,sugestao_funcionalidade,dificuldade_descoberta
1,2026-03-13T07:47:56,16-24,Espinheiro,Raramente,Shows ou festivais musicais; Cinema; Eventos gastronômicos,Instagram; WhatsApp / grupos; Indicação de amigos,0,Muito difícil,True,Concordo,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Descoberta de eventos gratuitos,,Informações espalhadas e dispersas 
2,2026-03-13T08:19:46,16-24,Casa Forte,Raramente,Cinema; Eventos gastronômicos; Feiras culturais; Exposições ou museus,Indicação de amigos,0,Difícil,,Concordo totalmente,Concordo totalmente,True,Muito útil,Provavelmente sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Descoberta de eventos gratuitos,"Alguma forma de interagir com os eventos: exemplo curtir, compartilhar etc, para que eventos com maior ""hype"" tivessem mais chance de aparecer para os usuários",Falta de informação
3,2026-03-13T08:50:23,16-24,Boa Viagem (Zona Sul),Nunca,Não costumo participar,Indicação de amigos; Pesquisa no Google; Propagandas em veículos de comunicação como televisão e rádio,1,Difícil,True,Concordo,Concordo totalmente,False,Neutro,Talvez,Eventos perto de mim; Recomendações baseadas nos meus interesses; Descoberta de eventos gratuitos,Uma função que indicasse algumas informações básicas como se há locais para comer dentro do próprio evento ou locais próximos; se há banheiros; se há estacionamento,"Uma melhor divulgação, especialmente, por meio de anúncios na televisão, rádio ou pequenos pôsteres em locais estratégicos pela cidade."
4,2026-03-13T08:51:54,16-24,Rosarinho,Às vezes,Shows ou festivais musicais; Cinema; Exposições ou museus,Instagram; WhatsApp / grupos; Indicação de amigos,2,Neutro,True,Neutro,Concordo,True,Útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Mapa com eventos da cidade,C9mpra de ingressos pelo propio aplicativo para eventos pagos ou que precisam de ingresso,A falta de divulgação 
5,2026-03-13T10:41:17,40-59,Boa Viagem,Às vezes,Shows ou festivais musicais; Teatro; Cinema,Instagram; Indicação de amigos; Pesquisa no Google,1,Difícil,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Descoberta de eventos gratuitos,Que tenha a opção de selecionar eventos por preço também ,Falta de divulgação 
6,2026-03-13T11:57:31,16-24,Zona Sul/ Zona Norte/ Aldeia,Raramente,Shows ou festivais musicais; Cinema; Feiras culturais; Eventos esportivos,Instagram; WhatsApp / grupos; Indicação de amigos; Pesquisa no Google,3,Fácil,True,Concordo,Concordo totalmente,True,Muito útil,Talvez,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada,Criar um evento comunitário ,Falta de uma plataforma unificada que mostre tudo
7,2026-03-13T13:03:12,16-24,"Não Moro Em Recife, Mas Por Vezes Participo De Eventos Na Região",Às vezes,Shows ou festivais musicais; Cinema; Feiras culturais; Exposições ou museus,Instagram; Indicação de amigos,1,Neutro,True,Concordo,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,"Eu gostaria de acessar eventos que amigos ou conhecidos estejam inscritos em participar, seja por região ou por data, porém, claro, de modo que estas pessoas em questão permitissem ter suas atividades visíveis para outros usuários. Gostaria desta funcionalidade porque imagino que permitiria mais engajamento dentro da própria solução, ao descobrir eventos que, a princípio, eu não teria interesse, mas ao notar que um amigo participará, me levaria a considerar a fazer parte também. Talvez essa pequena dinâmica dentro da solução incentivasse cada vez mais o próprio uso dela, uma vez que o ser humano seja tão social e busque criar novas conexões, novas descobertas, diminuir distâncias e encontrar interesses em comum. Então defendo essa parada de levar à esfera de senso de comunidade, o social, sabe? Acho que seria útil. ","Centralização das informações. 

Não sei se existe um canal principal para essa comunicação além das tentativas das redes sociais repassar isso. Lembro-me do evento Rec'n'play e da dimensão gigantesca dele com eventos acontecendo num intervalo curto de dias, mas ao mesmo tempo e em vários lugares. Aquela alternativa majestosamente organizava de maneira clara as atividades e permitia o acompanhamento filtrando interesses, quais estavam rolando, quais eram meus favoritos. Achei de uma utilidade tremenda. Se existisse algo paralelo àquilo, mas de forma constante e consistente, o qual fosse também sempre atualizado (quais eventos encerraram, quais continuam, quais se repetirão), imagino que seria de extrema utilidade. Se bem desenhado, a usabilidade permitiria que ele se tornasse a principal escolha dos usuários e, assim, sendo o mais usado, cairia na incumbência de ser aquele que centraliza as informações."
8,2026-03-13T13:12:39,40-59,Boa Viagem,Frequentemente,Shows ou festivais musicais; Eventos gastronômicos; Feiras culturais; Eventos comunitários de bairro,Instagram; WhatsApp / grupos; Indicação de amigos,3,Difícil,True,Concordo,Concordo,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,Um aplicativo fácil de usar,Falta de divulgação 
9,2026-03-13T15:31:20,40-59,Boa Viagem,Às vezes,Shows ou festivais musicais; Cinema,Instagram; Sites da prefeitura ou instituições culturais,2,Neutro,True,Concordo,Concordo totalmente,True,Útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada; Descoberta de eventos gratuitos,,
10,2026-03-13T15:43:23,40-59,Tejipió,Às vezes,Shows ou festivais musicais; Cinema; Eventos gastronômicos; Feiras culturais; Eventos comunitários de bairro,Instagram; Indicação de amigos,0,Difícil,True,Concordo totalmente,Concordo totalmente,True,Muito útil,Com certeza sim,Eventos perto de mim; Recomendações baseadas nos meus interesses; Notificações sobre eventos próximos; Mapa com eventos da cidade; Agenda cultural personalizada,Áreas de interesse,A falta de uma plataforma única 
