Timestamp,Qual é a sua idade? ,Em qual bairro ou região do Recife você mora? ,Com que frequência você participa de eventos culturais? ,Que tipo de eventos culturais você costuma frequentar?  ,  Onde você costuma descobrir eventos culturais?  ,Quantas plataformas diferentes você costuma usar para descobrir eventos?  ,Você considera fácil encontrar eventos culturais que combinem com seus gostos e que aconteçam perto de você?  ,Você já perdeu um evento que gostaria de ir porque descobriu tarde demais? ,Você sente que eventos gratuitos ou comunitários têm pouca divulgação?  ,Você sente que existem poucos eventos divulgados no seu bairro ou região? ,  Você já foi a um evento que descobriu por acaso (sem ter buscado especificamente por ele)?  ,"Se um aplicativo recomendasse eventos automaticamente com base nos seus interesses, você acharia isso útil?  ",  Você usaria um aplicativo que mostrasse eventos culturais próximos da sua localização?  ,Qual dessas funcionalidades você acharia mais útil?  ,Que outra funcionalidade você acha que seria útil em um aplicativo de eventos? ,"Na sua opinião, o que mais dificulta descobrir eventos culturais no Recife? "
3/13/2026 7:47:56,16 - 24 anos,Espinheiro ,Raramente (1 ou 2 vezes no ano),"Shows ou festivais musicais, Cinema, Eventos gastronômicos","Instagram, WhatsApp / grupos, Indicação de amigos",Nenhuma,Muito difícil,Sim,Concordo,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Descoberta de eventos gratuitos",,Informações espalhadas e dispersas 
3/13/2026 8:19:46,16 - 24 anos,Casa Forte,Raramente (1 ou 2 vezes no ano),"Cinema, Eventos gastronômicos, Feiras culturais, Exposições ou museus",Indicação de amigos,Nenhuma,Difícil,Não lembro,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Provavelmente usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Descoberta de eventos gratuitos","Alguma forma de interagir com os eventos: exemplo curtir, compartilhar etc, para que eventos com maior ""hype"" tivessem mais chance de aparecer para os usuários",Falta de informação
3/13/2026 8:50:23,16 - 24 anos,Boa Viagem (Zona Sul),Nunca,Não costumo participar ,"Indicação de amigos, Pesquisa no Google, Propagandas em veículos de comunicação como televisão e rádio ",1,Difícil,Sim,Concordo,Concordo totalmente,Não,Neutro,Talvez usasse,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Descoberta de eventos gratuitos",Uma função que indicasse algumas informações básicas como se há locais para comer dentro do próprio evento ou locais próximos; se há banheiros; se há estacionamento,"Uma melhor divulgação, especialmente, por meio de anúncios na televisão, rádio ou pequenos pôsteres em locais estratégicos pela cidade."
3/13/2026 8:51:54,16 - 24 anos,Rosarinho,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Exposições ou museus","Instagram, WhatsApp / grupos, Indicação de amigos",2,Nem fácil nem difícil,Sim,Neutro,Concordo,Sim,Útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Mapa com eventos da cidade",C9mpra de ingressos pelo propio aplicativo para eventos pagos ou que precisam de ingresso,A falta de divulgação 
3/13/2026 10:41:17,40 - 59 anos,Boa viagem ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Teatro, Cinema","Instagram, Indicação de amigos, Pesquisa no Google",1,Difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Descoberta de eventos gratuitos",Que tenha a opção de selecionar eventos por preço também ,Falta de divulgação 
3/13/2026 11:57:31,16 - 24 anos,Zona Sul/ Zona norte/ Aldeia,Raramente (1 ou 2 vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais, Eventos esportivos","Instagram, WhatsApp / grupos, Indicação de amigos, Pesquisa no Google",3,Fácil,Sim,Concordo,Concordo totalmente,Sim,Muito útil,Talvez usasse,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada",Criar um evento comunitário ,Falta de uma plataforma unificada que mostre tudo
3/13/2026 13:03:12,16 - 24 anos,"Não moro em Recife, mas por vezes participo de eventos na região",Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Feiras culturais, Exposições ou museus","Instagram, Indicação de amigos",1,Nem fácil nem difícil,Sim,Concordo,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos","Eu gostaria de acessar eventos que amigos ou conhecidos estejam inscritos em participar, seja por região ou por data, porém, claro, de modo que estas pessoas em questão permitissem ter suas atividades visíveis para outros usuários. Gostaria desta funcionalidade porque imagino que permitiria mais engajamento dentro da própria solução, ao descobrir eventos que, a princípio, eu não teria interesse, mas ao notar que um amigo participará, me levaria a considerar a fazer parte também. Talvez essa pequena dinâmica dentro da solução incentivasse cada vez mais o próprio uso dela, uma vez que o ser humano seja tão social e busque criar novas conexões, novas descobertas, diminuir distâncias e encontrar interesses em comum. Então defendo essa parada de levar à esfera de senso de comunidade, o social, sabe? Acho que seria útil. ","Centralização das informações. 

Não sei se existe um canal principal para essa comunicação além das tentativas das redes sociais repassar isso. Lembro-me do evento Rec'n'play e da dimensão gigantesca dele com eventos acontecendo num intervalo curto de dias, mas ao mesmo tempo e em vários lugares. Aquela alternativa majestosamente organizava de maneira clara as atividades e permitia o acompanhamento filtrando interesses, quais estavam rolando, quais eram meus favoritos. Achei de uma utilidade tremenda. Se existisse algo paralelo àquilo, mas de forma constante e consistente, o qual fosse também sempre atualizado (quais eventos encerraram, quais continuam, quais se repetirão), imagino que seria de extrema utilidade. Se bem desenhado, a usabilidade permitiria que ele se tornasse a principal escolha dos usuários e, assim, sendo o mais usado, cairia na incumbência de ser aquele que centraliza as informações."
3/13/2026 13:12:39,40 - 59 anos,Boa Viagem,Frequentemente (1 vez por mês),"Shows ou festivais musicais, Eventos gastronômicos, Feiras culturais, Eventos comunitários de bairro","Instagram, WhatsApp / grupos, Indicação de amigos",3,Difícil,Sim,Concordo,Concordo,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",Um aplicativo fácil de usar,Falta de divulgação 
3/13/2026 15:31:20,40 - 59 anos,Boa Viagem ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema","Instagram, Sites da prefeitura ou instituições culturais",2,Nem fácil nem difícil,Sim,Concordo,Concordo totalmente,Sim,Útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada, Descoberta de eventos gratuitos",,
3/13/2026 15:43:23,40 - 59 anos,Tejipió ,Ás vezes (algumas vezes no ano),"Shows ou festivais musicais, Cinema, Eventos gastronômicos, Feiras culturais, Eventos comunitários de bairro","Instagram, Indicação de amigos",Nenhuma,Difícil,Sim,Concordo totalmente,Concordo totalmente,Sim,Muito útil,Com certeza usaria,"Eventos perto de mim, Recomendações baseadas nos meus interesses, Notificações sobre eventos próximos, Mapa com eventos da cidade, Agenda cultural personalizada",Áreas de interesse,A falta de uma plataforma única 
